model,threshold,accuracy,precision,recall,f1,tp,fp,tn,fn
lr,0.8,0.9406390760998409,0.2525608732157851,0.3700787401574803,0.30022956382872545,1504,4451,109593,2560
lr,0.81,0.9420953703390118,0.25602250747318445,0.35826771653543305,0.29863603732950467,1456,4231,109813,2608
lr,0.8200000000000001,0.9436024655400143,0.26134901672486677,0.3499015748031496,0.2992109416096791,1422,4019,110025,2642
lr,0.8300000000000001,0.944847089104887,0.2660427807486631,0.34276574803149606,0.2995698924731182,1393,3843,110201,2671
lr,0.84,0.9459731770921529,0.2696361105587592,0.33366141732283466,0.2982514021774992,1356,3673,110371,2708
lr,0.85,0.9471415992142784,0.27372793354101765,0.3243110236220472,0.2968802793107332,1318,3497,110547,2746
lr,0.86,0.9484031564330951,0.27915578764142734,0.3156988188976378,0.29630484988452654,1283,3313,110731,2781
lr,0.87,0.9495800453821925,0.28506478745169356,0.30856299212598426,0.2963488124778447,1254,3145,110899,2810
lr,0.88,0.9506299319267112,0.2893921334922527,0.2987204724409449,0.2939823223150502,1214,2981,111063,2850
lr,0.89,0.9514935482778474,0.29192701824543865,0.2874015748031496,0.2896466212027278,1168,2833,111211,2896
lr,0.9,0.952204761743489,0.29344133786255555,0.2763287401574803,0.2846280572804461,1123,2704,111340,2941
lr,0.91,0.9531530463643445,0.29804784162771514,0.26673228346456695,0.2815218802752889,1084,2553,111491,2980
lr,0.92,0.953771124733295,0.2979154603358425,0.2531988188976378,0.2737430167597766,1029,2425,111619,3035
lr,0.93,0.9545331391607681,0.3012781497261108,0.24360236220472442,0.2693877551020408,990,2296,111748,3074
lr,0.9400000000000001,0.9551258170488028,0.3019230769230769,0.23179133858267717,0.262249443207127,942,2178,111866,3122
lr,0.9500000000000001,0.9556507603210621,0.300475866757308,0.21751968503937008,0.2523551241792749,884,2058,111986,3180
lr,0.96,0.9561757035933214,0.2994227994227994,0.20423228346456693,0.2428320655354008,830,1942,112102,3234
lr,0.97,0.9565905781149456,0.2942315137437089,0.18700787401574803,0.22867459004061982,760,1823,112221,3304
lr,0.98,0.9567175805195245,0.27983193277310925,0.1638779527559055,0.20670391061452512,666,1714,112330,3398
lr,0.99,0.9568022487892437,0.2590529247910863,0.13730314960629922,0.1794789321325185,558,1596,112448,3506
lr,1.0,0.9555660920513428,0.010743801652892562,0.0031988188976377952,0.004929844520288206,13,1197,112847,4051
